(4,6), (5,5), (5,6), (4,5)
(1,6), (6,7), (2,7), (9,1)
(4,1), (3,4), (0,5), (1,2)
(6,6), (9,9), (1,7), (7,1)
(5,7), (7,8), (6,5), (8,6)
(5,1), (2,3), (7,4), (4,6)
(3,5), (8,5), (3,0), (8,0)
(2,5), (5,5), (2,2), (5,2)
(0,2), (1,2), (1,1), (1,0)
(1,9), (2,1), (7,4), (8,9)
(6,2), (5,2), (5,1), (6,1)
(1,1), (9,8), (1,4), (1,9)
(5,6), (5,2), (5,6), (5,3)
(8,0), (1,4), (6,3), (1,9)
(9,3), (5,1), (3,5), (7,7)
(3,2), (3,2), (5,2), (3,4)
(0,8), (7,3), (4,1), (6,6)
(7,2), (4,4), (9,5), (6,7)
(2,2), (2,2), (2,2), (2,2)
(4,7), (8,1), (1,7), (8,3)
(8,2), (9,3), (9,2), (8,3)
(7,4), (8,0), (9,8), (1,3)
(4,7), (5,8), (4,8), (5,7)
